,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
230,SPATZ,240,165,SZ,Exp_04,4,CAPELLA,BRA D 79,GER,1958,NA,medium-sensitiv,P2-G08-165-SZ,165-SZ,165,ja,NA,NA,NA,NA,NA,NA,FALSE
231,SPRINTER,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-E04-315-SPR-2,315-SPR-2,NA,NA,GBS2_29,315,SPR,NA,LSV 211 Weih,Stärke,FALSE
232,SPUNTA,242,174,SP,Exp_06,NA,BEA,USDA 96-56,NLD,1968,NA,(tolerant),P2-H09-174-SP,174-SP,174,nein,NA,NA,NA,NA,NA,NA,FALSE
233,STÄRKEPROFI,243,NA,NA,NA,NA,NA,NA,GER,2007,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-F04-316-StP-2,316-StP-2,NA,NA,GBS2_30,316,StP,Saatzucht Firlbeck,LSV 211 Weih,Stärke,FALSE
234,STILETTO,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-G04-317-STI-2,317-STI-2,NA,NA,GBS2_31,317,STI,NA,LSV 211 Weih,Stärke,FALSE
235,STRATOS,245,NA,NA,NA,NA,MERCATOR,SERESTA,NLD,2009,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-B08-372-STR-2,372-STR-2,NA,NA,GBS2_58,372,STR,Semagri,NA,NA,FALSE
236,SUNDANCE,246,91,SD,Exp_02,7,RZ- 89-2050,QUARTA,NLD,2016,NA,medium-sensitiv,P1-C12-091-SD,091-SD,91,ja,NA,NA,NA,NA,NA,NA,FALSE
237,SUNITA,247,92,SU,Exp_03,7,MARABEL,CARRERA,NLD,2014,NA,medium-sensitiv,P1-D12-092-SU,092-SU,92,ja,NA,NA,NA,NA,NA,NA,TRUE
238,SUNRED,248,93,SR,Exp_02,6,RODEO,DAKOTA ROSE,NLD,2016,NA,medium,P1-E12-093-SR,093-SR,93,ja,NA,NA,NA,NA,NA,NA,TRUE
239,SYLVANA,249,175,SY,Exp_06,NA,FABULA,XANTIA,NLD,2008,NA,medium-sensitiv,P2-A10-175-SY,175-SY,175,nein,NA,NA,NA,NA,NA,NA,TRUE
240,TAISIYA,250,94,TA,Exp_02,7,MILVA,YP- 95- 111,NLD,2011,NA,medium-tolerant,P1-F12-094-TA,094-TA,94,ja,NA,NA,NA,NA,NA,NA,FALSE
241,TARZAN,251,NA,NA,NA,NA,NA,NA,GER,2018,NA,NA,P01-H04-319-TAR-2,319-TAR-2,NA,NA,GBS2_32,319,TAR,NA,LSV 211 Weih,Stärke,FALSE
242,TOMENSA,252,177,TO,Exp_07,NA,ST 155,TAIGA,GER,1989,NA,medium-sensitiv,P2-C10-177-TO,177-TO,177,nein,NA,NA,NA,NA,NA,NA,FALSE
243,TONI,253,166,TN,Exp_04,5,FLAVA,seedling,GER,1946,NA,(sensitiv),P2-H08-166-TN,166-TN,166,nein,NA,NA,NA,NA,NA,NA,FALSE
244,TRIPLO,254,95,TR,Exp_02,6,AGRIA,FRESCO,NLD,2000,NA,medium-tolerant,P1-G12-095-TR,095-TR,95,ja,NA,NA,NA,NA,NA,NA,TRUE
245,TRITON,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-A05-325-TRI-2,325-TRI-2,NA,NA,GBS2_33,325,TRI,NA,LSV 211 Weih,Stärke,FALSE
246,TROGS LICHTBLICK,256,167,TL,Exp_04,5,GEHEIMRAT VON RUMCKER,FURSTENKRONE,GER,1922,NA,(sensitiv),P2-A09-167-TL,167-TL,167,nein,NA,NA,NA,NA,NA,NA,FALSE
247,TYSON,257,96,TY,Exp_02,6,SYLVANA,CYRANO,NLD,2016,NA,medium,P1-H12-096-TY,096-TY,96,ja,NA,NA,NA,NA,NA,NA,TRUE
248,ULTIMUS,258,168,UL,Exp_04,4,RODE STAR,PEPO,NLD,1935,NA,medium-sensitiv,P2-B09-168-UL,168-UL,168,ja,NA,NA,NA,NA,NA,NA,FALSE
249,VALDIVIA,259,NA,NA,NA,NA,VIENNA,NO 00-0205,AUT,2016,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-A10-398-VAL-2,398-VAL-2,NA,NA,GBS2_73,398,VAL,Agrico,ADAPT-set,NA,FALSE
250,VIOLA,260,169,VI,Exp_04,6,JULI,SONNENRAGIS,GER,1938,NA,medium-sensitiv,P2-C09-169-VI,169-VI,169,ja,NA,NA,NA,NA,NA,NA,FALSE
251,VIRGINIA,261,170,VG,Exp_04,4,dms,FLAVA,GER,1950,NA,sensitiv,P2-D09-170-VG,170-VG,170,ja,NA,NA,NA,NA,NA,NA,FALSE
252,VITELOTTE NOIRE,262,97,VN,Exp_02,2,unknown,NA,FRA,1815,NA,medium-tolerant,P2-A01-097-VN,097-VN,97,ja,NA,NA,NA,NA,NA,NA,FALSE
253,VOYAGER,263,98,VY,Exp_03,7,RZ- 85- 238,OBELIX,NLD,2003,NA,medium,P2-B01-098-VY,098-VY,98,ja,NA,NA,NA,NA,NA,NA,FALSE
254,VR 808,264,99,VR,Exp_02,7,LADY CLAIRE,ATLANTIC,NLD,2009,NA,medium-tolerant,P2-C01-099-VR,099-VR,99,ja,NA,NA,NA,NA,NA,NA,TRUE
255,WEGA,265,NA,NA,NA,NA,MARABEL,GALA,GER,2010,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-B05-333-WEG-2,333-WEG-2,NA,NA,GBS2_34,333,WEG,NA,LSV 202 Weih,fr,TRUE
256,WEKARAGIS,266,171,WE,Exp_04,4,BESELER,KUCKUCK,GER,1928,NA,medium-sensitiv,P2-E09-171-WE,171-WE,171,ja,NA,NA,NA,NA,NA,NA,FALSE
257,YDUN,267,NA,NA,NA,NA,KURAS,SERESTA,DEN,2014,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-C05-334-YD-2,334-YD-2,NA,NA,GBS2_35,334,YD,NA,LSV 211 Weih,Stärke,TRUE
258,YUKON GOLD,268,100,YU,Exp_02,7,NORGLEAM,W 52 79 4,CAN,1980,NA,medium-tolerant,P2-D01-100-YU,100-YU,100,ja,NA,NA,NA,NA,NA,NA,FALSE
259,ZARINA,269,101,ZA,Exp_03,7,HOT 03-7460,OPERA,NLD,2019,NA,tolerant,P2-E01-101-ZA,101-ZA,101,ja,NA,NA,NA,NA,NA,NA,FALSE
260,ZINA RED,270,102,ZR,Exp_03,7,SYMFONIA,AMOROSA,NLD,2013,NA,medium-tolerant,P2-F01-102-ZR,102-ZR,102,ja,NA,NA,NA,NA,NA,NA,FALSE
261,ZORBA,271,103,ZO,Exp_04,6,CIP 312/35,CAROLA,ESP,1997,NA,medium-sensitiv,P2-G01-103-ZO,103-ZO,103,ja,NA,NA,NA,NA,NA,NA,FALSE
